Geographic Area Name,inc_hhlds,inc_hhlds_less_than_10_000,inc_hhlds_10_000_to_14_999,inc_hhlds_15_000_to_24_999,inc_hhlds_25_000_to_34_999,inc_hhlds_35_000_to_49_999,inc_hhlds_50_000_to_74_999,inc_hhlds_75_000_to_99_999,inc_hhlds_100_000_to_149_999,inc_hhlds_150_000_to_199_999,inc_hhlds_200_000_or_more,inc_med_hhld_inc_dol,inc_mean_hhld_inc_dol,inc_per_capita_inc_dol,inc_med_earn_workers_dol,inc_med_earn_male_full_yr_workers_dol,inc_med_earn_female_full_yr_workers_dol
"Grundy County, Illinois",19398,815,821,1179,1151,2122,3731,2952,3756,1915,956,74140,87844,33308,41110,62983,42238
"Kankakee County, Illinois",40050,2925,1822,4199,3228,5055,8038,5548,6014,1819,1402,57981,71986,27164,31783,53860,39516
"DuPage County, Illinois",341823,12909,6829,18773,20583,33404,51908,45972,68068,36813,46564,88711,117832,43982,43448,70879,53469
"Sangamon County, Illinois",83661,5445,4028,8261,7352,9771,15107,11541,12459,5072,4625,60466,80536,34548,35996,55106,44010
"Menard County, Illinois",5198,247,138,415,387,696,906,915,849,397,248,69102,82127,34495,40423,54798,44914
"Cook County, Illinois",1963070,150136,82860,185110,169860,227406,318622,234678,289976,136558,167864,62088,91216,35575,37104,54867,47704
"Ogle County, Illinois",20901,837,929,1650,2223,2972,4334,2531,3594,1180,651,59707,75048,30595,32912,52856,36537
"Morgan County, Illinois",13864,926,792,1731,1637,2025,2534,1856,1605,500,258,48508,63032,26295,28158,46022,36083
"Stephenson County, Illinois",19609,1374,1084,2659,1937,3164,3722,2296,2295,690,388,48016,62446,27453,27906,49344,34519
"White County, Illinois",6082,502,324,734,625,970,1260,864,467,238,98,47773,58877,25859,30900,49589,32588
"Woodford County, Illinois",14566,461,530,955,958,1789,3024,2293,2436,1243,877,71867,91250,35104,36233,62038,41435
"Henderson County, Illinois",2990,97,150,299,343,530,747,381,348,54,41,52712,65045,28401,30333,46081,29452
"McHenry County, Illinois",111812,3195,2378,6255,7066,11031,19452,17112,23648,11432,10243,84803,103328,38047,40748,65980,47574
"McLean County, Illinois",66159,5495,2793,4836,5140,7333,11251,8773,10921,5535,4082,65813,86113,33665,33938,60185,45096
"Perry County, Illinois",8323,955,429,1010,840,1016,1591,1214,984,132,152,48298,61778,24511,31462,53554,35000
"Pike County, Illinois",6527,509,387,877,794,1137,1223,563,647,267,123,42664,57507,24162,29006,42897,32080
"Rock Island County, Illinois",60294,4370,2745,6217,6214,8800,11868,7966,7998,2488,1628,52630,67715,28595,30651,50194,37397
"St. Clair County, Illinois",103063,9299,5248,10037,10045,13889,16647,12819,15379,5268,4432,53681,73185,29541,32742,52625,40036
"Wabash County, Illinois",4896,303,296,619,525,646,933,778,534,154,108,51432,63491,26850,28212,51086,30730
"Calhoun County, Illinois",1805,140,137,173,151,215,368,219,305,51,46,54392,66845,27314,34676,54191,45260
"Cumberland County, Illinois",4322,208,279,456,507,576,1012,507,594,71,112,53376,62334,25622,30490,42421,33222
"Jo Daviess County, Illinois",9758,469,364,999,1111,1375,1993,1321,1391,464,271,57083,73074,32710,30214,46528,35040
"Kane County, Illinois",178050,6844,4761,11705,12687,20373,30459,23738,33541,16612,17330,76912,101298,34924,35336,57370,43436
"Lawrence County, Illinois",6144,342,277,790,829,1117,963,861,681,210,74,45654,58908,22099,31050,48816,32244
"Brown County, Illinois",2087,78,147,211,160,244,467,352,324,54,50,58762,67824,22279,32630,50643,37708
"Marshall County, Illinois",4893,249,271,517,439,697,1018,632,794,166,110,55901,68641,29827,31502,52636,35313
"Iroquois County, Illinois",11779,532,795,1318,1231,1866,2382,1660,1309,442,244,51825,64658,26976,28549,48161,32326
"Christian County, Illinois",13939,949,566,1817,1587,1722,3057,1843,1663,482,253,52415,62807,26166,31882,48572,35476
"Clay County, Illinois",5638,332,358,749,565,882,1143,664,651,217,77,48691,60790,25821,30368,46940,30305
"Gallatin County, Illinois",2314,260,115,334,253,353,393,295,214,62,35,42500,57026,25572,32593,47340,34425
"Jackson County, Illinois",23728,3653,1937,3326,2331,3161,3416,2273,1913,968,750,37802,58035,24521,20530,44483,36047
"Monroe County, Illinois",13349,379,377,910,1070,1417,2096,1853,2699,1276,1272,81268,101408,39988,44826,63045,51927
"Peoria County, Illinois",73629,6110,3439,7608,7112,9483,13528,9447,9715,3625,3562,54770,74500,30753,31666,54234,38609
"Union County, Illinois",6669,499,463,810,728,896,1252,911,714,235,161,49182,62746,25416,29626,44301,38603
"Winnebago County, Illinois",114608,8273,5764,12315,11758,16138,22096,14845,14121,5385,3913,52743,69030,28250,30846,51692,38230
"Piatt County, Illinois",6700,156,193,429,701,1051,1088,1229,1201,369,283,69271,82458,33967,36343,54726,40095
"Pulaski County, Illinois",2173,226,201,395,301,284,399,146,177,32,12,33799,47587,20317,25652,40495,31630
"Schuyler County, Illinois",2836,161,148,243,370,591,555,397,268,73,30,46151,58448,23068,28596,40372,32129
"Stark County, Illinois",2294,131,152,232,298,287,464,307,224,99,100,52260,70542,30225,32226,50337,38036
"Edgar County, Illinois",7590,676,376,810,683,1179,1594,1129,789,228,126,51109,62335,27701,30484,46424,35793
"Bond County, Illinois",6218,384,291,635,503,863,1256,933,903,306,144,58097,70131,26356,27406,48807,33409
"Boone County, Illinois",18731,876,622,1503,1706,2286,3532,2768,3205,1073,1160,66898,85599,30725,32363,55756,39953
"Bureau County, Illinois",13805,665,518,1523,1413,2109,2714,1989,1903,540,431,55940,69674,29126,31547,52252,34993
"Carroll County, Illinois",6476,411,291,727,836,918,1342,898,738,202,113,51228,62739,28053,29037,48193,32568
"Coles County, Illinois",21139,2123,1702,2492,2183,3015,3881,2427,2109,691,516,44071,63161,26790,24403,43050,33309
"Crawford County, Illinois",7653,441,445,958,807,1266,1188,965,996,308,279,49233,68640,26713,31092,51987,35705
"Vermilion County, Illinois",31180,2789,1747,3866,3557,4782,6046,3612,3127,1103,551,45384,59615,24272,30963,45481,35461
"Clark County, Illinois",6774,254,394,756,683,973,1440,891,883,299,201,54158,70037,29887,31938,49177,34259
"Effingham County, Illinois",13555,642,571,1439,1460,1936,2612,1820,1915,663,497,56293,74875,30255,30907,45911,33089
"Hamilton County, Illinois",3376,194,218,325,280,441,816,399,464,128,111,56862,67205,27795,35563,47229,36786
"Johnson County, Illinois",4342,265,230,490,545,593,871,544,574,144,86,50923,65981,22469,32422,53213,38125
"Livingston County, Illinois",14320,746,616,1804,1643,1622,2612,2046,2270,574,387,56200,70341,28236,31484,51805,32623
"Tazewell County, Illinois",54613,2227,1719,4421,5046,7851,11388,7693,8956,2747,2565,62342,80041,33077,35823,56582,39469
"Warren County, Illinois",6690,413,261,751,598,1344,1317,821,796,166,223,49607,66183,26082,26042,45779,36871
"Madison County, Illinois",107413,6629,4944,10189,10547,13929,20597,14012,16166,6124,4276,57890,74862,30802,34296,56343,42130
"Mercer County, Illinois",6624,388,252,493,767,904,1570,961,947,201,141,58011,68250,28995,33128,51348,35279
"Alexander County, Illinois",2323,291,175,418,286,415,355,182,104,86,11,34709,45672,19065,25292,42702,32449
"Randolph County, Illinois",11873,530,653,1282,1358,1837,2377,1682,1537,270,347,52107,67527,25340,31136,46365,33178
"Macon County, Illinois",44113,3452,2449,5256,4571,6159,7933,5639,5185,1907,1562,50444,68106,28925,30378,52470,37732
"Wayne County, Illinois",7075,390,462,751,816,1134,1571,946,707,163,135,49764,60785,26362,32711,43619,35259
"Franklin County, Illinois",16135,1579,1183,2274,1957,2362,3006,1638,1482,406,248,41414,54762,23510,28339,45801,33559
"McDonough County, Illinois",11292,1387,819,1174,1216,1551,1627,1439,1424,417,238,43724,59429,23299,19392,43176,32953
"Moultrie County, Illinois",5910,225,233,569,562,899,1326,793,819,315,169,59623,70504,28391,35170,50110,35728
"Pope County, Illinois",1644,175,77,179,278,191,306,210,190,29,9,40671,52818,22343,21935,42500,36563
"Shelby County, Illinois",9203,464,515,1069,1114,1291,2060,1245,1114,235,96,51157,59674,25320,31252,46107,31891
"Champaign County, Illinois",82499,10978,3699,8015,7573,9970,13835,9079,11109,3954,4287,51692,72496,29683,27103,49078,41549
"Ford County, Illinois",5779,288,273,729,652,870,1122,732,766,197,150,51120,64974,28002,33636,51669,39438
"Kendall County, Illinois",40407,909,711,1279,2055,3891,6677,7027,10151,3973,3734,91764,104526,34423,41662,64213,48517
"Marion County, Illinois",15913,1175,854,2248,1910,2304,3144,1924,1713,402,239,46102,58895,24727,28565,43976,34395
"Mason County, Illinois",6027,306,363,774,804,959,1210,598,696,166,151,45596,61524,27111,27278,48059,34635
